1761265360,608,446.4105377,,Metrics,Value,Rounded,Simulated,% Change
1761269939,575188,574.4288254,,,,,,
1761269961,579340,77.15302277,,,,,,
1761270002,582784,619.6749268,,,,,,
1761270028,587508,248.4109497,,,,,,
1761270033,588404,499.5462357,,,,,,
1761270076,591996,0,,,,,,
1761270084,593684,515.6336716,,,,,,
1761270101,596976,880.5113525,,,,,,
1761270134,598868,158.0766563,,,,,,
1761270145,600948,400.9380173,,,,,,
1761270148,601564,577.6598511,,,,,,
1761270166,605000,564.0432739,,,,,,
1761270205,608208,508.2727051,,,,,,
1761270206,608488,414.1855835,,,,,,
1761270224,612120,516.202179,,,,,,
1761270262,615032,186.6696167,,,,,,
1761270264,615452,537.5377533,,,,,,
1761270295,621480,505.4331665,,,,,,
1761270336,625092,802.4171753,,,,,,
1761270357,629072,728.149231,,,,,,
1761270462,640184,667.8743286,,,,,,
1761270472,642020,194.1162186,,,,,,
1761270554,653964,656.7402954,,,,,,
1761270561,655272,208.1423492,,,,,,
1761270609,660224,423.5974884,,,,,,
1761270610,660436,383.2749252,,,,,,
1761270656,664744,783.5602417,,,,,,
1761270669,667312,423.428421,,,,,,
1761270676,668756,678.9683838,,,,,,
1761270787,680668,759.7626953,,,,,,
1761270805,684136,679.0664063,,,,,,
1761270811,685124,560.8809845,,,,,,
1761270861,689944,591.75354,,,,,,
1761270886,694580,541.0145309,,,,,,
1761270988,706076,0,,,,,,
1761270988,706204,283.4766312,,,,,,
1761270997,707800,0,,,,,,
1761271051,713708,750.8730469,,,,,,
1761271064,716164,551.9955429,,,,,,
1761271074,718064,858.9165039,,,,,,
1761271087,720708,646.6019287,,,,,,
1761271133,725216,635.4210815,,,,,,
1761271188,731208,574.9350739,,,,,,
1761271195,732552,532.1369507,,,,,,
1761271246,737456,508.2197723,,,,,,
1761271461,764392,413.1933289,,,,,,
1761271482,768096,501.9816589,,,,,,
1761271538,774196,504.6040649,,,,,,
1761271555,777088,705.7029419,,,,,,
1761271612,783404,511.1442871,,,,,,
1761271653,786668,547.9748535,,,,,,
1761271738,799916,570.9105835,,,,,,
1761271810,809560,600.647583,,,,,,
1761271864,815872,372.0454559,,,,,,
1761271879,818452,529.3172607,,,,,,
1761271880,818632,144.3710747,,,,,,
1761271917,821208,98.62558365,,,,,,
1761271933,824036,576.5407104,,,,,,
1761271933,824152,33.58330822,,,,,,
1761271948,826660,531.4099121,,,,,,
1761271985,829300,424.749559,,,,,,
1761271997,831448,589.6391602,,,,,,
1761272005,833032,738.7833252,,,,,,
1761272045,836284,599.1558838,,,,,,
1761272048,836864,522.9695541,,,,,,
1761272079,842984,702.5943604,,,,,,
1761272111,844764,664.5652466,,,,,,
1761272142,851328,423.0730133,,,,,,
1761272171,852380,258.9862747,,,,,,
1761272194,856652,822.2008057,,,,,,
1761272240,860904,645.9142456,,,,,,
1761272249,862888,822.4776001,,,,,,
1761272267,866080,463.6909637,,,,,,
1761272305,868880,755.4487305,,,,,,
1761272310,870048,621.8043823,,,,,,
1761272312,870400,0,,,,,,
1761272329,873544,673.6213989,,,,,,
1761272339,875260,326.2801437,,,,,,
1761272342,875836,538.0852661,,,,,,
1761272383,878904,670.5611572,,,,,,
1761272396,881260,754.4407959,,,,,,
1761272503,893304,104.9054604,,,,,,
1761272528,898844,514.6333008,,,,,,
1761272592,906844,0,,,,,,
1761272601,908576,762.618042,,,,,,
1761272635,910476,516.202179,,,,,,
1761272667,916024,238.9660263,,,,,,
1761272674,917488,185.9024734,,,,,,
1761272717,921172,533.2521362,,,,,,
1761272741,925476,577.9182739,,,,,,
