StepV,ValueV,StepF,ValueF,StepL,ValueL
4862480,278.9731384,5756048,223.0514374,6525808,604.7629395
4881456,215.2481094,5794000,343.4216919,6606112,378.7222595
5049856,505.3547791,5845568,673.5596924,6629888,609.2426758
5072400,196.9966599,5847712,122.3263092,6753808,0
5164240,109.9574753,5895872,63.9532547,6774816,741.2817993
5166576,359.8205933,5927616,27.98624611,6799760,478.6906738
5167600,285.6172852,5988784,80.86930847,6820224,462.4081116
5208672,526.3231201,6014928,215.5687256,6840240,375.6273804
5228352,273.0101715,6136816,52.76392365,6844240,454.4602051
5230368,435.67034,6269312,0,6871552,213.1551971
5240032,172.4300217,6430832,253.4393768,6951152,82.69884491
5272848,297.2965759,6450880,76.37329865,6973472,164.4955292
5281232,395.4219269,6459536,19.02602196,7090240,0
5336096,0,6551040,479.8077087,7136848,97.34091187
5342128,395.7203705,6572256,193.1436157,7165056,95.63693237
5385792,59.1934639,6597440,405.7064514,7245120,274.5923462
5404784,248.1588226,6605904,64.25606537,7295696,555.5706177
5433120,39.56044579,6635456,0,7365040,358.3859253
5461568,378.0296082,6664192,360.2009277,7458192,129.0911865
5467280,392.7264587,6699856,186.0540161,7480528,518.8389282
5476032,18.28959618,6761696,64.38909912,7516864,519.9570923
5480624,197.2075012,6784272,513.319397,7542032,517.9725342
5492080,113.881517,6801456,0,7568528,106.2121735
5522416,252.8735504,6821568,459.835022,7582304,147.938385
5535472,49.95416107,6845392,267.6466064,7688368,0
5540832,230.315213,6890416,97.64979553,7717616,512.2294922
5570336,18.69267254,6908096,48.00695801,7774512,444.7386169
5612960,507.4983215,6928720,331.4726563,7813712,103.9515991
5614400,118.2647598,6942944,13.78314114,7832336,311.1695251
5645056,77.07422791,6946384,256.3251953,7851760,568.2155151
5695616,390.1792511,6946864,298.8358154,7866176,354.63974
5699904,513.3193726,7025184,204.3200989,7905488,495.2138672
5727680,117.3275024,7043216,200.8715363,7952240,378.7442627
5770864,41.62846756,7091072,103.9730377,8023024,2.708110094
5781056,327.2556061,7172288,28.83740044,8071424,117.5476913
5806208,282.0928986,7181216,284.6480713,8078736,99.2023468
5806256,427.1080902,7229488,321.7528381,8140416,33.78362274
5845744,313.1741821,7254000,117.7333679,8179296,0
5893072,468.1196411,7264944,77.81468201,8201408,562.3293457
5936624,9.994511604,7344320,601.0289917,8231328,214.3899078
6006336,0,7374896,230.9181366,8253488,666.2189941
6012816,361.1493347,7394224,20.41347885,8271680,24.21641922
6016544,8.000126553,7426496,89.75450134,8319552,584.2536011
6059248,343.4348694,7438144,248.8928223,8417760,83.46175385
6072864,301.1568695,7461664,603.1502686,8433280,191.3842163
6126800,0,7522704,365.1030579,8518640,42.40370178
6134368,533.7175781,7543104,528.7355957,8532912,203.0809021
6144832,578.5099915,7557696,2.307502031,8548192,0
