256016,0,,Metrics,Value,Rounded
272752,0,,Q1,79.90700708,80
342592,0,,Q2,261.2209218,261
564000,1.612220607,,Q3,435.1932274,435
616736,6.225571201,,Max,770.0121277,770
626784,0,,IQR,355.2862203,355
663040,0,,,,
725984,0,,,,
758832,0,,,,
824304,0,,,,
852192,0,,,,
870080,0,,,,
958976,18.55490551,,,,
1056720,45.37754216,,,,
1113904,5.034596325,,,,
1410192,70.54191109,,,,
1410784,90.65662768,,,,
1487600,0,,,,
1539264,4.22825957,,,,
1591520,25.76412462,,,,
1685440,5.701558152,,,,
1692768,112.3571579,,,,
1781424,13.59127965,,,,
1827648,68.22343465,,,,
1844752,106.4772117,,,,
1856144,0,,,,
1952320,174.1431338,,,,
1986112,21.40046608,,,,
1992512,9.162055865,,,,
2121456,127.4346408,,,,
2132528,252.0936607,,,,
2140976,35.05074363,,,,
2184720,64.99139989,,,,
2231152,117.5308081,,,,
2327216,248.4165322,,,,
2336368,35.06143272,,,,
2345744,348.7167051,,,,
2379824,336.5779971,,,,
2385248,17.37406336,,,,
2507328,277.5818518,,,,
2517824,135.3519986,,,,
2547792,436.7961082,,,,
2590800,57.52613726,,,,
2659712,375.0443577,,,,
2743232,163.0737019,,,,
2963408,11.34869729,,,,
3015456,162.1618087,,,,
3023072,32.3308674,,,,
3029904,193.1227402,,,,
3057376,7.598193913,,,,
3092256,161.1813293,,,,
3186336,213.5856256,,,,
3380064,72.78250499,,,,
3476128,75.9646874,,,,
3477968,282.7988124,,,,
3482944,399.7178505,,,,
3605376,275.4931364,,,,
3671872,262.0287531,,,,
3720512,76.74339232,,,,
3722256,178.5134992,,,,
3775824,0,,,,
3842704,61.8371837,,,,
3883200,537.1702262,,,,
3899168,383.3803379,,,,
3913040,51.52031802,,,,
3942704,84.41648468,,,,
3975008,336.7296203,,,,
4097728,2.60732797,,,,
4118736,111.858523,,,,
4155088,231.0301278,,,,
4156320,34.52227866,,,,
4230352,0,,,,
4261632,135.7996969,,,,
4278384,378.5648405,,,,
4290880,279.1613928,,,,
4321360,40.74574761,,,,
4354112,173.6015095,,,,
4416656,96.64609303,,,,
4428704,418.7539235,,,,
4429952,53.75493339,,,,
4506496,177.2057917,,,,
4524288,244.1702067,,,,
4549856,152.539754,,,,
4563632,309.3054789,,,,
4568368,367.3877306,,,,
4592400,166.4087805,,,,
4603472,327.8132202,,,,
4620672,157.7868748,,,,
4628240,154.534984,,,,
4658096,140.357738,,,,
4739184,28.55461999,,,,
4751856,341.1794972,,,,
4754736,460.7468983,,,,
4763776,141.7616484,,,,
4772720,79.95805212,,,,
4805200,279.023809,,,,
4825104,0,,,,
4833680,393.9040813,,,,
4842368,317.2486771,,,,
4847568,618.8709978,,,,
4860256,56.33408304,,,,
4862480,291.0151444,,,,
4881456,230.2449039,,,,
5049856,527.1686545,,,,
5072400,210.721837,,,,
5164240,117.6184469,,,,
5166576,375.3524175,,,,
5167600,297.9460889,,,,
5208672,549.0421037,,,,
5228352,284.7947832,,,,
5230368,454.476254,,,,
5240032,184.4435888,,,,
5272848,310.1295216,,,,
5281232,412.4904993,,,,
5336096,0,,,,
5342128,412.8018253,,,,
5385792,64.86954948,,,,
5404784,265.4485766,,,,
5433120,43.35391319,,,,
5461568,394.347433,,,,
5467280,409.6786799,,,,
5476032,20.04339307,,,,
5480624,210.9473681,,,,
5492080,121.815885,,,,
5522416,270.4917896,,,,
5535472,54.7442861,,,,
5540832,246.3617647,,,,
5570336,20.48512059,,,,
5612960,529.4047239,,,,
5614400,126.5045177,,,,
5645056,84.4649073,,,,
5695616,407.0215209,,,,
5699904,535.4770434,,,,
