1761254721,12416,524.6474609,,Metrics,Value,Rounded,Simulated,% Change
1761259560,2784560,1.005876303,,,,,,
1761259629,2823296,409.1135559,,,,,,
1761259636,2826864,419.0842896,,,,,,
1761259636,2827168,696.7269287,,,,,,
1761259657,2837744,0,,,,,,
1761259714,2871088,439.3341675,,,,,,
1761259745,2888160,387.7394409,,,,,,
1761259756,2895072,530.6929932,,,,,,
1761259773,2904672,625.2868652,,,,,,
1761259778,2908000,80.60313416,,,,,,
1761259790,2915088,25.58612442,,,,,,
1761259798,2916448,435.2102966,,,,,,
